property_id,city,locality,locality_tier,area_type,total_sqft,bhk,bath,balcony,age_years,distance_to_center_km,furnishing,facing,parking_spaces,rera_approved,nearby_schools,nearby_hospitals,price
P00048,Hyderabad,Hyderabad-Premium-2,Premium,Built-up Area,902.8,2,2,2,15,2.45,Fully Furnished,South-East,2,1,0,1,7167000.0
P00049,Delhi,Delhi-Mid-8,Mid,Super built-up Area,1300.6,2,2,0,13,9.53,Unfurnished,South-East,2,1,3,2,13391000.0
P00050,Hyderabad,Hyderabad-Emerging-3,Emerging,Plot Area,870.4,2,1,1,24,21.45,Unfurnished,South,0,1,2,3,2045000.0
P00051,Mumbai,Mumbai-Mid-3,Mid,Carpet Area,1658.9,3,4,1,23,11.75,Semi-Furnished,East,0,1,1,0,21765000.0
P00052,Delhi,Delhi-Emerging-6,Emerging,Super built-up Area,1648.1,3,4,3,18,12.66,Semi-Furnished,South,1,1,0,0,7076000.0
P00053,Hyderabad,Hyderabad-Mid-1,Mid,Built-up Area,417.3,1,2,0,12,9.17,Fully Furnished,North,0,1,1,1,1908000.0
P00054,Mumbai,Mumbai-Mid-3,Mid,Super built-up Area,1398.9,3,2,1,14,9.8,Unfurnished,South,2,1,2,1,23439000.0
P00055,Hyderabad,Hyderabad-Premium-6,Premium,Super built-up Area,551.7,1,1,0,23,0.19,Unfurnished,North,1,1,4,3,3310000.0
P00056,Delhi,Delhi-Emerging-1,Emerging,Built-up Area,1751.6,3,4,3,7,26.7,Fully Furnished,North,1,0,0,1,9954000.0
P00057,Pune,Pune-Mid-7,Mid,Super built-up Area,1246.1,2,3,0,21,8.46,Semi-Furnished,South-East,2,1,4,1,4854000.0
P00058,Mumbai,Mumbai-Mid-8,Mid,Plot Area,1066.8,2,1,0,19,14.92,Fully Furnished,West,1,1,3,3,10612000.0
P00059,Mumbai,Mumbai-Mid-8,Mid,Built-up Area,1569.0,3,3,2,3,11.64,Semi-Furnished,North,0,0,5,1,28304000.0
P00060,Pune,Pune-Mid-5,Mid,Carpet Area,1237.9,2,3,1,6,14.83,Unfurnished,North,2,1,2,1,6569000.0
P00061,Hyderabad,Hyderabad-Emerging-1,Emerging,Super built-up Area,1155.4,2,2,2,6,15.19,Unfurnished,East,1,1,3,3,4498000.0
P00062,Pune,Pune-Mid-4,Mid,Super built-up Area,1032.3,3,4,2,11,14.04,Unfurnished,North,0,1,2,0,5672000.0
P00063,Bengaluru,Bengaluru-Mid-8,Mid,Plot Area,1635.5,3,3,1,8,10.81,Fully Furnished,West,1,1,2,1,10038000.0
P00064,Delhi,Delhi-Premium-4,Premium,Super built-up Area,1051.8,2,1,2,18,0.59,Unfurnished,East,0,1,2,2,16783000.0
P00065,Mumbai,Mumbai-Mid-4,Mid,Built-up Area,512.8,1,1,1,16,6.11,Semi-Furnished,South,2,0,0,3,6878000.0
P00066,Pune,Pune-Emerging-8,Emerging,Super built-up Area,647.8,1,1,1,10,25.53,Unfurnished,North,0,1,0,3,1928000.0
P00067,Delhi,Delhi-Emerging-5,Emerging,Carpet Area,877.7,2,1,2,0,15.31,Fully Furnished,North-East,0,1,1,3,7273000.0
P00068,Pune,Pune-Mid-2,Mid,Carpet Area,1059.7,2,1,2,14,8.39,Unfurnished,South,0,0,0,3,6306000.0
P00069,Mumbai,Mumbai-Mid-7,Mid,Super built-up Area,1634.1,3,4,1,9,6.26,Fully Furnished,North,0,1,5,0,33487000.0
P00070,Mumbai,Mumbai-Premium-3,Premium,Built-up Area,620.1,1,2,1,1,2.4,Fully Furnished,North,2,1,2,1,18569000.0
P00071,Hyderabad,Hyderabad-Emerging-2,Emerging,Plot Area,1068.3,2,1,2,16,24.01,Fully Furnished,West,1,1,4,0,3448000.0
P00072,Pune,Pune-Mid-8,Mid,Plot Area,626.0,1,1,0,19,8.93,Semi-Furnished,North-East,1,1,3,2,3394000.0
P00073,Mumbai,Mumbai-Emerging-4,Emerging,Super built-up Area,1180.9,2,3,2,14,19.19,Semi-Furnished,South,0,0,4,1,10392000.0
P00074,Chennai,Chennai-Mid-6,Mid,Built-up Area,1841.3,3,4,3,8,11.47,Unfurnished,South,0,1,1,2,8640000.0
P00075,Mumbai,Mumbai-Mid-6,Mid,Carpet Area,537.8,1,1,1,23,7.47,Unfurnished,North-East,0,1,1,2,7488000.0
P00076,Hyderabad,Hyderabad-Premium-8,Premium,Built-up Area,1122.2,3,3,2,18,3.75,Unfurnished,East,2,1,3,1,9159000.0
P00077,Chennai,Chennai-Mid-8,Mid,Plot Area,1269.6,2,1,0,21,9.9,Unfurnished,East,2,0,1,3,5516000.0
P00078,Hyderabad,Hyderabad-Emerging-8,Emerging,Super built-up Area,1823.0,3,3,1,17,22.32,Semi-Furnished,East,1,1,3,3,4300000.0
P00079,Bengaluru,Bengaluru-Premium-7,Premium,Super built-up Area,491.5,1,1,1,5,4.65,Fully Furnished,South,0,1,0,1,4450000.0
P00080,Delhi,Delhi-Emerging-5,Emerging,Built-up Area,2838.4,5,5,4,6,26.16,Fully Furnished,West,0,1,3,2,14550000.0
P00081,Bengaluru,Bengaluru-Mid-5,Mid,Plot Area,1566.1,3,2,0,17,14.77,Unfurnished,South,0,1,4,1,7665000.0
P00082,Bengaluru,Bengaluru-Emerging-7,Emerging,Carpet Area,2667.6,4,3,3,17,19.86,Fully Furnished,South-East,0,1,1,2,8833000.0
P00083,Bengaluru,Bengaluru-Premium-1,Premium,Plot Area,475.9,1,1,0,8,4.94,Fully Furnished,South,2,1,2,3,4194000.0
P00084,Mumbai,Mumbai-Mid-1,Mid,Carpet Area,1667.0,3,2,2,13,9.65,Unfurnished,West,2,1,4,0,20513000.0
P00085,Delhi,Delhi-Premium-2,Premium,Plot Area,2316.7,4,5,0,24,2.69,Fully Furnished,South-East,2,1,3,0,29062000.0
P00086,Delhi,Delhi-Mid-6,Mid,Plot Area,1361.9,3,3,3,9,5.27,Semi-Furnished,West,0,1,1,3,11019000.0
P00087,Mumbai,Mumbai-Mid-7,Mid,Plot Area,1183.6,2,1,0,11,11.77,Unfurnished,West,2,1,4,0,14491000.0
P00088,Hyderabad,Hyderabad-Mid-8,Mid,Plot Area,1633.4,3,3,0,11,6.95,Unfurnished,East,0,1,3,0,10696000.0
P00089,Mumbai,Mumbai-Emerging-2,Emerging,Built-up Area,933.3,2,2,1,8,21.77,Fully Furnished,North-East,0,1,0,0,6608000.0
P00090,Delhi,Delhi-Premium-5,Premium,Carpet Area,2263.2,4,5,2,3,0.27,Fully Furnished,North,1,0,5,0,41749000.0
P00091,Chennai,Chennai-Mid-8,Mid,Plot Area,1106.8,3,4,1,19,6.28,Unfurnished,North-East,2,1,3,1,5118000.0
P00092,Chennai,Chennai-Mid-4,Mid,Built-up Area,1442.6,3,4,1,19,9.51,Semi-Furnished,East,1,1,5,1,6354000.0
P00093,Mumbai,Mumbai-Premium-4,Premium,Plot Area,1265.7,2,3,0,19,4.53,Fully Furnished,South,1,1,5,0,24464000.0
P00094,Pune,Pune-Mid-8,Mid,Plot Area,2001.8,4,4,0,23,10.63,Fully Furnished,South,1,1,2,0,8084000.0
P00095,Pune,Pune-Mid-7,Mid,Super built-up Area,2890.6,4,3,1,16,12.75,Fully Furnished,North,2,0,5,0,14330000.0
P00096,Hyderabad,Hyderabad-Emerging-5,Emerging,Plot Area,729.5,2,2,1,6,27.71,Unfurnished,North,1,1,5,3,2459000.0
P00097,Bengaluru,Bengaluru-Mid-7,Mid,Built-up Area,1381.6,2,3,1,12,11.9,Unfurnished,North-East,1,1,3,1,6526000.0
P00098,Hyderabad,Hyderabad-Premium-5,Premium,Carpet Area,1106.0,2,1,0,12,2.43,Unfurnished,West,1,0,5,2,12077000.0
P00099,Delhi,Delhi-Mid-4,Mid,Super built-up Area,445.9,1,1,1,16,12.06,Unfurnished,South,2,0,5,0,3442000.0
P00100,Bengaluru,Bengaluru-Emerging-1,Emerging,Built-up Area,1009.4,2,3,1,17,19.12,Unfurnished,North-East,0,1,1,3,2103000.0
P00101,Bengaluru,Bengaluru-Emerging-1,Emerging,Carpet Area,1336.2,3,3,3,9,14.03,Semi-Furnished,South-East,2,0,2,2,5522000.0
P00102,Chennai,Chennai-Mid-4,Mid,Super built-up Area,825.3,2,1,0,18,12.8,Semi-Furnished,North,0,1,5,0,3355000.0
P00103,Bengaluru,Bengaluru-Premium-8,Premium,Super built-up Area,1703.5,3,2,0,14,0.92,Semi-Furnished,East,2,1,3,2,13906000.0
P00104,Chennai,Chennai-Emerging-2,Emerging,Super built-up Area,1349.4,3,2,1,2,15.61,Unfurnished,South,2,1,2,0,4509000.0
P00105,Pune,Pune-Mid-3,Mid,Super built-up Area,1903.1,3,4,2,22,14.37,Semi-Furnished,West,1,1,5,1,6907000.0
P00106,Bengaluru,Bengaluru-Mid-8,Mid,Super built-up Area,1512.1,3,4,2,6,11.38,Semi-Furnished,East,2,1,4,0,8788000.0
P00107,Chennai,Chennai-Mid-7,Mid,Plot Area,1995.3,3,2,3,19,8.48,Fully Furnished,North-East,1,1,3,3,10272000.0
P00108,Delhi,Delhi-Emerging-5,Emerging,Super built-up Area,765.6,2,2,0,9,22.03,Unfurnished,West,0,0,4,0,4207000.0
P00109,Bengaluru,Bengaluru-Mid-2,Mid,Super built-up Area,1697.3,3,2,2,20,8.58,Unfurnished,South,0,1,4,2,9006000.0
P00110,Chennai,Chennai-Premium-6,Premium,Built-up Area,1658.5,3,2,3,5,4.92,Unfurnished,South,1,1,4,0,14692000.0
P00111,Hyderabad,Hyderabad-Mid-7,Mid,Built-up Area,1143.8,2,3,0,21,7.36,Semi-Furnished,West,1,0,3,3,5794000.0
P00112,Delhi,Delhi-Emerging-5,Emerging,Super built-up Area,2128.9,4,5,0,17,19.64,Semi-Furnished,North-East,1,0,5,0,9920000.0
P00113,Chennai,Chennai-Emerging-2,Emerging,Built-up Area,1993.3,4,3,4,4,18.43,Fully Furnished,East,1,1,3,1,5806000.0
P00114,Bengaluru,Bengaluru-Premium-2,Premium,Plot Area,481.5,1,1,1,0,1.15,Unfurnished,South-East,2,1,1,2,5315000.0
P00115,Hyderabad,Hyderabad-Premium-7,Premium,Built-up Area,923.6,2,1,1,24,1.52,Unfurnished,North-East,2,1,4,0,7738000.0
P00116,Pune,Pune-Emerging-5,Emerging,Super built-up Area,636.0,1,2,1,19,18.32,Unfurnished,South,0,1,2,1,1611000.0
P00117,Chennai,Chennai-Mid-7,Mid,Carpet Area,1767.9,3,3,1,6,7.46,Unfurnished,East,1,1,1,0,10732000.0
P00118,Delhi,Delhi-Mid-4,Mid,Built-up Area,1574.7,3,3,1,15,7.55,Unfurnished,South-East,0,0,3,1,12052000.0
P00119,Bengaluru,Bengaluru-Premium-1,Premium,Carpet Area,1903.4,3,3,3,15,5.09,Fully Furnished,West,0,1,3,3,16066000.0
P00120,Pune,Pune-Emerging-2,Emerging,Plot Area,1693.6,4,3,4,4,23.92,Unfurnished,South-East,0,1,4,2,5225000.0
P00121,Pune,Pune-Mid-5,Mid,Plot Area,1604.8,3,4,2,7,10.23,Fully Furnished,North,2,0,0,3,8446000.0
P00122,Delhi,Delhi-Mid-3,Mid,Carpet Area,1894.2,3,3,1,15,7.84,Fully Furnished,East,2,1,1,3,19049000.0
P00123,Bengaluru,Bengaluru-Mid-3,Mid,Plot Area,1458.9,3,3,0,22,10.64,Unfurnished,North-East,2,1,5,1,6862000.0
P00124,Delhi,Delhi-Premium-8,Premium,Carpet Area,1529.8,3,2,2,18,1.3,Unfurnished,North-East,0,1,2,3,21898000.0
P00125,Delhi,Delhi-Mid-6,Mid,Plot Area,1821.0,3,2,1,1,7.02,Unfurnished,South-East,1,1,1,3,22428000.0
P00126,Bengaluru,Bengaluru-Emerging-8,Emerging,Super built-up Area,1116.7,2,1,0,4,13.14,Unfurnished,West,2,1,0,3,5557000.0
P00127,Mumbai,Mumbai-Emerging-6,Emerging,Built-up Area,1512.0,3,3,1,17,19.48,Unfurnished,East,0,1,4,3,9004000.0
P00128,Chennai,Chennai-Mid-3,Mid,Super built-up Area,2034.2,4,3,1,18,11.89,Semi-Furnished,South,0,1,1,2,9864000.0
P00129,Delhi,Delhi-Mid-5,Mid,Super built-up Area,865.2,2,2,2,15,9.47,Unfurnished,South,1,1,4,0,6901000.0
P00130,Hyderabad,Hyderabad-Mid-7,Mid,Carpet Area,1441.5,3,2,2,18,9.92,Semi-Furnished,North,0,1,4,1,6582000.0
P00131,Pune,Pune-Mid-8,Mid,Super built-up Area,1181.9,2,2,0,10,5.95,Semi-Furnished,West,2,1,1,2,5894000.0
P00132,Hyderabad,Hyderabad-Emerging-2,Emerging,Built-up Area,1120.2,2,2,1,7,24.15,Semi-Furnished,North,2,0,2,3,3019000.0
P00133,Chennai,Chennai-Mid-2,Mid,Carpet Area,1099.5,2,3,2,0,10.27,Fully Furnished,South,0,1,4,3,5822000.0
P00134,Bengaluru,Bengaluru-Mid-3,Mid,Built-up Area,2386.0,5,5,4,24,8.21,Semi-Furnished,West,1,1,4,2,12417000.0
P00135,Chennai,Chennai-Mid-3,Mid,Super built-up Area,1150.8,2,3,1,1,12.59,Unfurnished,North,0,1,5,1,6265000.0
P00136,Chennai,Chennai-Premium-1,Premium,Plot Area,1672.1,3,2,0,12,2.67,Fully Furnished,West,2,1,3,0,14984000.0
P00137,Pune,Pune-Mid-8,Mid,Plot Area,1205.8,2,1,2,4,14.53,Semi-Furnished,North-East,1,1,4,0,6994000.0
P00138,Mumbai,Mumbai-Emerging-3,Emerging,Carpet Area,405.4,1,1,1,15,24.97,Semi-Furnished,West,1,1,1,0,3489000.0
P00139,Hyderabad,Hyderabad-Mid-2,Mid,Super built-up Area,963.5,2,2,2,10,14.3,Fully Furnished,West,0,1,4,3,4136000.0
P00140,Bengaluru,Bengaluru-Emerging-8,Emerging,Plot Area,1607.4,3,2,2,23,18.68,Semi-Furnished,North-East,0,1,1,3,4269000.0
P00141,Pune,Pune-Mid-4,Mid,Super built-up Area,945.7,2,1,1,24,7.2,Semi-Furnished,North,0,0,3,1,4204000.0
P00142,Bengaluru,Bengaluru-Premium-7,Premium,Carpet Area,1349.8,3,2,2,16,0.9,Unfurnished,South,0,1,4,3,10682000.0
P00143,Mumbai,Mumbai-Mid-3,Mid,Carpet Area,2207.4,4,3,2,20,11.51,Semi-Furnished,South,0,1,1,2,24541000.0
P00144,Mumbai,Mumbai-Mid-1,Mid,Built-up Area,1078.9,2,2,1,6,5.32,Semi-Furnished,North-East,0,1,2,0,17958000.0
P00145,Delhi,Delhi-Mid-4,Mid,Super built-up Area,2194.8,4,3,2,3,10.15,Unfurnished,North,2,0,1,0,20373000.0
P00146,Hyderabad,Hyderabad-Emerging-5,Emerging,Carpet Area,1143.1,2,1,2,24,12.68,Unfurnished,North-East,1,0,1,0,3051000.0
P00147,Mumbai,Mumbai-Emerging-4,Emerging,Super built-up Area,1004.3,2,1,1,0,12.83,Semi-Furnished,North,0,1,0,3,12628000.0
P00148,Chennai,Chennai-Emerging-5,Emerging,Built-up Area,1008.8,2,1,1,3,25.69,Fully Furnished,South,0,1,1,0,2734000.0
P00149,Delhi,Delhi-Premium-4,Premium,Built-up Area,1829.6,3,3,1,12,2.09,Unfurnished,North,2,1,1,0,29269000.0
P00150,Mumbai,Mumbai-Mid-8,Mid,Plot Area,521.6,1,2,0,16,6.31,Semi-Furnished,North,2,1,4,3,8376000.0
P00151,Delhi,Delhi-Premium-3,Premium,Super built-up Area,1565.5,3,3,2,8,5.57,Unfurnished,North-East,0,1,4,0,22386000.0
P00152,Delhi,Delhi-Premium-3,Premium,Super built-up Area,979.2,2,2,0,8,0.15,Fully Furnished,East,2,1,4,2,15391000.0
P00153,Hyderabad,Hyderabad-Emerging-3,Emerging,Carpet Area,1809.0,3,2,1,3,24.9,Unfurnished,South-East,2,1,0,0,4927000.0
P00154,Bengaluru,Bengaluru-Premium-6,Premium,Super built-up Area,1611.2,3,3,3,8,1.66,Unfurnished,East,0,1,5,1,16924000.0
P00155,Mumbai,Mumbai-Mid-8,Mid,Built-up Area,2480.5,4,5,2,1,7.57,Unfurnished,West,1,1,2,3,44763000.0
P00156,Hyderabad,Hyderabad-Emerging-3,Emerging,Plot Area,1679.9,3,2,0,23,14.72,Unfurnished,North,2,1,2,2,5351000.0
P00157,Delhi,Delhi-Premium-6,Premium,Built-up Area,1852.9,3,3,2,7,3.98,Fully Furnished,South,0,1,0,2,25056000.0
P00158,Delhi,Delhi-Mid-6,Mid,Carpet Area,1027.0,2,1,1,19,5.88,Fully Furnished,East,0,1,4,1,7056000.0
P00159,Chennai,Chennai-Premium-4,Premium,Super built-up Area,2245.4,4,4,0,14,3.92,Unfurnished,North-East,2,1,2,3,17350000.0
P00160,Delhi,Delhi-Mid-2,Mid,Built-up Area,1231.4,2,3,0,11,7.55,Unfurnished,South,1,1,1,1,10213000.0
P00161,Chennai,Chennai-Emerging-5,Emerging,Carpet Area,1261.6,2,1,1,3,24.7,Semi-Furnished,West,2,1,0,0,2918000.0
P00162,Delhi,Delhi-Premium-5,Premium,Plot Area,1587.5,3,4,3,14,3.67,Fully Furnished,North,0,1,4,0,24292000.0
P00163,Mumbai,Mumbai-Mid-7,Mid,Super built-up Area,850.4,2,3,2,7,5.94,Unfurnished,South,0,0,0,2,16388000.0
P00164,Pune,Pune-Mid-5,Mid,Super built-up Area,905.8,2,2,0,22,12.29,Semi-Furnished,South,1,1,0,1,4707000.0
P00165,Chennai,Chennai-Mid-5,Mid,Built-up Area,1639.6,3,4,0,9,6.81,Unfurnished,North,2,1,3,3,8876000.0
P00166,Hyderabad,Hyderabad-Premium-1,Premium,Super built-up Area,1253.0,2,2,2,8,1.19,Semi-Furnished,North,1,0,1,0,10911000.0
P00167,Chennai,Chennai-Mid-4,Mid,Super built-up Area,2987.0,4,4,0,8,5.69,Semi-Furnished,North,0,0,4,3,17773000.0
P00168,Mumbai,Mumbai-Premium-1,Premium,Built-up Area,313.0,1,1,1,19,4.77,Fully Furnished,East,0,0,5,0,6831000.0
P00169,Bengaluru,Bengaluru-Emerging-4,Emerging,Built-up Area,1720.6,3,4,1,1,20.34,Unfurnished,North-East,0,1,0,0,6346000.0
P00170,Chennai,Chennai-Mid-7,Mid,Super built-up Area,1205.8,2,1,0,10,5.09,Fully Furnished,South,0,1,0,0,5613000.0
P00171,Hyderabad,Hyderabad-Emerging-5,Emerging,Built-up Area,1118.5,2,1,2,24,15.03,Semi-Furnished,South,2,1,2,3,2498000.0
P00172,Delhi,Delhi-Premium-7,Premium,Plot Area,1800.3,3,3,3,13,5.85,Semi-Furnished,East,0,1,5,2,26380000.0
P00173,Mumbai,Mumbai-Emerging-1,Emerging,Carpet Area,1055.0,2,3,0,3,23.61,Semi-Furnished,South,2,0,5,2,7199000.0
P00174,Hyderabad,Hyderabad-Mid-5,Mid,Built-up Area,1406.1,3,2,2,10,12.56,Unfurnished,North-East,1,1,5,2,8975000.0
P00175,Mumbai,Mumbai-Mid-1,Mid,Plot Area,1764.5,3,3,2,4,12.9,Semi-Furnished,North-East,0,1,5,2,29815000.0
P00176,Hyderabad,Hyderabad-Mid-7,Mid,Carpet Area,573.9,1,1,1,22,10.93,Unfurnished,South-East,2,1,2,2,2548000.0
P00177,Bengaluru,Bengaluru-Premium-3,Premium,Plot Area,1407.8,2,3,2,9,1.41,Fully Furnished,South-East,1,1,4,3,13651000.0
P00178,Pune,Pune-Mid-1,Mid,Carpet Area,2920.3,5,6,5,23,10.22,Fully Furnished,North-East,1,1,3,2,14250000.0
P00179,Chennai,Chennai-Emerging-8,Emerging,Plot Area,1068.0,2,2,2,1,22.28,Unfurnished,South,0,1,1,3,3040000.0
P00180,Delhi,Delhi-Premium-2,Premium,Built-up Area,1437.8,3,3,2,20,3.76,Fully Furnished,North,2,0,1,2,21438000.0
P00181,Pune,Pune-Mid-5,Mid,Carpet Area,1691.8,3,4,2,4,8.77,Semi-Furnished,North,1,1,4,0,8548000.0
P00182,Mumbai,Mumbai-Mid-5,Mid,Plot Area,2515.3,5,6,1,13,9.99,Unfurnished,West,2,1,1,1,33561000.0
P00183,Bengaluru,Bengaluru-Premium-4,Premium,Plot Area,1962.0,3,2,2,16,2.38,Semi-Furnished,North,2,1,3,2,17238000.0
P00184,Pune,Pune-Emerging-7,Emerging,Super built-up Area,1226.3,3,4,3,23,26.82,Unfurnished,North-East,0,1,3,1,2103000.0
P00185,Hyderabad,Hyderabad-Premium-3,Premium,Plot Area,1201.4,2,2,2,19,0.75,Unfurnished,East,1,0,3,3,8882000.0
P00186,Delhi,Delhi-Mid-4,Mid,Plot Area,1063.5,2,1,0,11,7.33,Fully Furnished,South-East,2,1,1,3,9911000.0
